step;tokens;lr;loss
13840;59750;0.000538;2.219363
13860;59811;0.000537;2.229728
13880;59751;0.000537;2.222558
13900;59736;0.000536;2.196778
13920;59764;0.000536;2.201841
13940;59760;0.000536;2.203978
13960;59793;0.000535;2.212771
13980;59763;0.000535;2.202233
14000;59811;0.000535;2.213146
14020;56489;0.000534;2.200481
14040;59785;0.000534;2.200387
14060;59696;0.000533;2.202573
14080;59672;0.000533;2.213862
14100;59681;0.000533;2.218600
14120;59701;0.000532;2.213538
14140;59685;0.000532;2.220342
14160;59700;0.000531;2.224563
14180;59620;0.000531;2.223539
14200;59690;0.000531;2.223967
14220;59691;0.000530;2.226051
14240;59743;0.000530;2.196903
14260;59751;0.000530;2.201693
14280;59642;0.000529;2.202644
14300;59714;0.000529;2.201663
14320;59745;0.000529;2.211065
14340;59719;0.000528;2.211709
14360;59652;0.000528;2.213601
14380;59707;0.000527;2.218310
14400;59668;0.000527;2.218742
14420;59600;0.000527;2.218958
14440;59594;0.000526;2.224532
14460;59648;0.000526;2.224372
14480;59724;0.000526;2.187932
14500;59681;0.000525;2.193231
